task_name,loss
Step #187,0.03135012090206146
Step #188,0.02597763203084469
Step #189,0.024173781275749207
Step #190,0.028254039585590363
Step #191,0.022689107805490494
Step #192,0.025340575724840164
Step #193,0.023114878684282303
Step #194,0.02263333834707737
Step #195,0.022959865629673004
Step #196,0.021509569138288498
Step #197,0.022370724007487297
Step #198,0.022335857152938843
Step #199,0.020460985600948334
Step #200,0.020440615713596344
Step #201,0.019705606624484062
Step #202,0.02125800959765911
Step #203,0.020298032090067863
Step #204,0.019529491662979126
Step #205,0.020857831463217735
Step #206,0.019753843545913696
Step #207,0.019033920019865036
Step #208,0.019279271364212036
Step #209,0.01875423453748226
Step #210,0.01845153421163559
Step #211,0.018611643463373184
Step #212,0.018911896273493767
Step #213,0.018168572336435318
Step #214,0.017909402027726173
Step #215,0.017906520515680313
Step #216,0.017487727105617523
Step #217,0.017665747553110123
Step #218,0.017257830128073692
Step #219,0.017199233174324036
Step #220,0.01720840111374855
Step #221,0.016958579421043396
Step #222,0.016908083111047745
Step #223,0.01636519655585289
Step #224,0.01655447483062744
Step #225,0.016142427921295166
Step #226,0.01669612154364586
Step #227,0.016820980235934258
Step #228,0.016259003430604935
Step #229,0.01679287850856781
Step #230,0.017855530604720116
Step #231,0.01656750589609146
Step #232,0.01701401174068451
Step #233,0.01709904707968235
Step #234,0.01699502393603325
Step #235,0.01563163474202156
Step #236,0.01657532900571823
Step #237,0.01707516238093376
Step #238,0.01537923701107502
Step #239,0.015945911407470703
Step #240,0.017159288749098778
Step #241,0.0166454017162323
Step #242,0.015411793254315853
Step #243,0.015320979990065098
Step #244,0.016057703644037247
Step #245,0.015566910617053509
Step #246,0.015103109180927277
Step #247,0.01560067106038332
Step #248,0.01586344838142395
Step #249,0.016494404524564743
Step #250,0.015302048064768314
Step #251,0.014802724123001099
Step #252,0.01498353946954012
Step #253,0.014822166413068771
Step #254,0.015012085437774658
Step #255,0.01492379978299141
Step #256,0.014406237751245499
Step #257,0.014404447749257088
Step #258,0.014664368703961372
Step #259,0.014214444905519485
Step #260,0.014372922480106354
Step #261,0.013975475914776325
Step #262,0.01398131437599659
Step #263,0.013654408045113087
Step #264,0.013872704468667507
Step #265,0.013823272660374641
Step #266,0.014161955565214157
Step #267,0.014441214501857758
Step #268,0.014860724098980427
Step #269,0.015413235872983932
Step #270,0.016587913036346436
Step #271,0.014275521039962769
Step #272,0.013487890362739563
Step #273,0.01324029266834259
Step #274,0.013916950672864914
Step #275,0.014421993866562843
Step #276,0.014788923785090446
Step #277,0.014404073357582092
Step #278,0.013965234160423279
Step #279,0.013486580923199654
Step #280,0.013795026578009129
Step #281,0.013485368341207504
Step #282,0.01361694373190403
Step #283,0.013772286474704742
Step #284,0.013547095470130444
Step #285,0.013199050910770893
Step #286,0.012924779206514359
Step #287,0.012960275635123253
Step #288,0.01304562296718359
Step #289,0.012919455766677856
Step #290,0.012444904074072838
Step #291,0.012758906930685043
Step #292,0.012519916519522667
Step #293,0.012752718292176723
Step #294,0.012713583186268806
Step #295,0.01285507157444954
Step #296,0.01347634568810463
Step #297,0.014690637588500977
Step #298,0.014024749398231506
Step #299,0.01287318766117096
Step #300,0.013120858930051327
Step #301,0.014221962541341782
Step #302,0.016049906611442566
Step #303,0.013498552143573761
Step #304,0.013356608338654041
Step #305,0.016278326511383057
Step #306,0.015007734298706055
Step #307,0.013625223189592361
Step #308,0.014676529914140701
Step #309,0.014262879267334938
Step #310,0.01384006068110466
Step #311,0.01404917985200882
Step #312,0.01367071270942688
Step #313,0.013218743726611137
Step #314,0.0137012405321002
Step #315,0.013233579695224762
Step #316,0.013003770262002945
Step #317,0.012395456433296204
Step #318,0.01243281178176403
Step #319,0.012965288013219833
Step #320,0.013212714344263077
Step #321,0.012608243152499199
Step #322,0.012282457202672958
Step #323,0.012590672820806503
Step #324,0.012489797547459602
Step #325,0.01310579851269722
Step #326,0.013477735221385956
Step #327,0.013226713985204697
Step #328,0.012856371700763702
Step #329,0.012725048698484898
Step #330,0.013318078592419624
Step #331,0.015042824670672417
Step #332,0.014280612580478191
Step #333,0.01293337531387806
Step #334,0.013599883764982224
Step #335,0.013236376456916332
Step #336,0.013597918674349785
Step #337,0.013784974813461304
Step #338,0.015279866755008698
Step #339,0.016326967626810074
Step #340,0.014545105397701263
Step #341,0.012865398079156876
Step #342,0.014042334631085396
Step #343,0.015166614204645157
Step #344,0.01327827200293541
Step #345,0.012680238112807274
Step #346,0.013122260570526123
Step #347,0.014125769957900047
Step #348,0.013242056593298912
Step #349,0.01213059201836586
Step #350,0.011933376081287861
Step #351,0.012491358444094658
Step #352,0.012077469378709793
Step #353,0.012076332233846188
Step #354,0.01192554086446762
Step #355,0.011997891589999199
Step #356,0.011485235765576363
Step #357,0.011332334019243717
Step #358,0.011682789772748947
Step #359,0.012310216203331947
Step #360,0.013203861191868782
Step #361,0.012986897490918636
Step #362,0.011647118255496025
Step #363,0.01104607991874218
Step #364,0.010967150330543518
Step #365,0.01190345548093319
Step #366,0.012876501306891441
Step #367,0.01255980134010315
Step #368,0.011055300943553448
Step #369,0.01111298892647028
Step #370,0.01084985677152872
Step #371,0.010631469078361988
Step #372,0.010722395032644272
Step #373,0.010773003101348877
Step #374,0.010699034668505192
Step #375,0.01047966256737709
Step #376,0.011012539267539978
Step #377,0.011067152954638004
Step #378,0.011520693078637123
Step #379,0.011514697223901749
Step #380,0.01129116304218769
Step #381,0.011315964162349701
Step #382,0.01114124245941639
Step #383,0.010735844261944294
Step #384,0.011110078543424606
Step #385,0.01115705817937851
Step #386,0.01122727058827877
Step #387,0.01094944216310978
Step #388,0.010919727385044098
Step #389,0.011180626228451729
Step #390,0.011408928781747818
Step #391,0.011344301514327526
Step #392,0.012065688148140907
Step #393,0.01201610080897808
Step #394,0.010981518775224686
Step #395,0.01060902327299118
Step #396,0.010371586307883263
Step #397,0.010552285239100456
Step #398,0.011266777291893959
Step #399,0.011210450902581215
Step #400,0.01086941547691822
Step #401,0.011281337589025497
Step #402,0.012337146326899529
Step #403,0.011571036651730537
Step #404,0.010726893320679665
Step #405,0.010826138779520988
Step #406,0.011035692878067493
Step #407,0.010472622700035572
Step #408,0.010018646717071533
Step #409,0.010365910828113556
Step #410,0.011899072676897049
Step #411,0.012174058705568314
Step #412,0.01061975210905075
Step #413,0.00986357219517231
Step #414,0.01034034974873066
Step #415,0.010728520341217518
Step #416,0.010469453409314156
Step #417,0.010090205818414688
Step #418,0.009770750068128109
Step #419,0.01017729751765728
Step #420,0.01066209003329277
Step #421,0.011428231373429298
Step #422,0.01113959588110447
Step #423,0.01029885746538639
Step #424,0.009729440324008465
Step #425,0.011206770315766335
Step #426,0.012364895083010197
Step #427,0.01043165847659111
Step #428,0.010337376967072487
Step #429,0.010936040431261063
Step #430,0.010124173015356064
Step #431,0.009899931028485298
Step #432,0.009948132559657097
Step #433,0.01007118634879589
