epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb,mode,mode_label,batch_size,run_num
1,19,ema_update,1774931459.9353428,1774931459.9623988,27.056,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,19,optimizer_step,1774931459.8269067,1774931459.9660065,139.1,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,19,total_step,1774931459.5683072,1774931459.9692702,400.963,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,20,data_transfer,1774931459.999559,1774931460.0000348,0.476,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,20,forward,1774931460.0032225,1774931460.189787,186.564,13306.7,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,20,backward,1774931460.1933875,1774931460.3637917,170.404,12778.8,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,20,ema_update,1774931460.4760177,1774931460.503137,27.12,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,20,optimizer_step,1774931460.3678908,1774931460.5067778,138.887,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,20,total_step,1774931459.9995463,1774931460.5100453,510.499,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,21,data_transfer,1774931460.541797,1774931460.5422702,0.473,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,21,forward,1774931460.545827,1774931460.7164054,170.579,12814.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,21,backward,1774931460.7195628,1774931460.8805916,161.029,12787.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,21,ema_update,1774931460.9924667,1774931461.019549,27.082,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,21,optimizer_step,1774931460.8840418,1774931461.023048,139.006,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,21,total_step,1774931460.5417843,1774931461.0262136,484.429,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,22,data_transfer,1774931461.0548286,1774931461.055308,0.479,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,22,forward,1774931461.0583465,1774931461.215393,157.047,11941.7,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,22,backward,1774931461.218556,1774931461.3324108,113.855,12773.8,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,22,ema_update,1774931461.4435716,1774931461.47069,27.118,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
