epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,73,0.101352,593.785,0.869,277.464,161.441,138.845,27.151,1774931183.3472805,1774931183.9437742
1,74,0.100615,647.625,0.876,297.605,194.83,138.987,27.118,1774931183.9977877,1774931184.6485577
1,75,0.09797,728.696,0.867,327.783,246.163,139.227,27.121,1774931184.698786,1774931185.4305828
1,76,0.095321,618.376,0.871,286.103,177.773,139.223,27.121,1774931185.5378065,1774931186.1596336
1,77,0.090534,555.054,0.854,262.835,136.447,139.389,27.12,1774931186.208695,1774931186.766831
1,78,0.094709,659.979,0.874,302.461,203.279,139.274,27.158,1774931186.8116093,1774931187.4745874
1,79,0.093613,576.523,0.871,270.396,150.645,139.247,27.169,1774931187.5240486,1774931188.1039014
1,80,0.088208,716.747,0.87,322.191,238.856,139.13,27.109,1774931188.1536446,1774931188.873513
1,81,0.087108,624.922,0.867,290.203,179.498,139.417,27.169,1774931188.9164824,1774931189.5446887
1,82,0.08271,711.288,0.876,317.438,238.06,139.975,27.236,1774931189.5943718,1774931190.308783
1,83,0.084166,692.534,0.866,316.086,221.859,139.471,27.128,1774931190.354354,1774931191.050677
1,84,0.081414,630.747,0.866,291.506,181.447,140.21,27.1,1774931191.0956013,1774931191.7297525
1,85,0.081354,614.127,0.87,285.946,173.472,138.977,27.161,1774931191.7828577,1774931192.400282
1,86,0.07916,576.369,0.863,271.439,150.287,139.262,27.143,1774931192.4521642,1774931193.0317569
1,87,0.080262,790.592,0.862,342.406,293.292,139.457,27.138,1774931193.080855,1774931193.8746932
1,88,0.077286,692.39,0.864,311.831,223.807,139.331,27.144,1774931193.9269857,1774931194.6225603
1,89,0.074149,547.151,0.861,261.706,131.699,139.006,27.157,1774931194.672546,1774931195.2222817
1,90,0.074075,582.348,0.889,274.414,153.336,139.194,27.148,1774931195.2766726,1774931195.861967
1,91,0.075178,563.425,0.87,267.491,141.569,138.976,27.116,1774931195.9132442,1774931196.4799206
1,92,0.07269,673.26,0.875,303.874,213.712,139.226,27.119,1774931196.5291064,1774931197.2056425
